weekid,week_position,song,performer,songid,instance,previous_week_position,peak_position,weeks_on_chart
7/28/2001,73,Bad Day,Fuel,Bad DayFuel,1,,73,1
9/27/2008,98,Bad Girlfriend,Theory Of A Deadman,Bad GirlfriendTheory Of A Deadman,1,,98,1
10/10/2009,96,Bad Habits,Maxwell,Bad HabitsMaxwell,1,,96,1
11/14/2009,9,Bad Romance,Lady Gaga,Bad RomanceLady Gaga,1,,9,1
12/20/2003,91,Badaboom,B2K Featuring Fabolous,BadaboomB2K Featuring Fabolous,1,,91,1
7/16/2005,92,Badd,Ying Yang Twins Featuring Mike Jones & Mr. ColliPark,BaddYing Yang Twins Featuring Mike Jones & Mr. ColliPark,1,,92,1
8/19/2000,67,Bag Lady,Erykah Badu,Bag LadyErykah Badu,1,,67,1
10/9/2004,67,Balla Baby,Chingy,Balla BabyChingy,1,,67,1
10/20/2001,98,Ballin' Out Of Control,Jermaine Dupri Featuring Nate Dogg,Ballin' Out Of ControlJermaine Dupri Featuring Nate Dogg,1,,98,1
7/11/2009,98,Barefoot And Crazy,Jack Ingram,Barefoot And CrazyJack Ingram,1,,98,1
7/12/2008,94,Bartender Song,Rehab,Bartender SongRehab,1,,94,1
6/16/2007,97,Bartender,T-Pain Featuring Akon,BartenderT-Pain Featuring Akon,1,,97,1
11/12/2005,87,Bat Country,Avenged Sevenfold,Bat CountryAvenged Sevenfold,1,,87,1
5/30/2009,32,Battlefield,Jordin Sparks,BattlefieldJordin Sparks,1,,32,1
8/30/2008,88,BB Good,Jonas Brothers,BB GoodJonas Brothers,1,,88,1
2/17/2007,96,Be Good To Me,Ashley Tisdale,Be Good To MeAshley Tisdale,1,,96,1
4/27/2002,99,Be Here,Raphael Saadiq Featuring D'Angelo,Be HereRaphael Saadiq Featuring D'Angelo,1,,99,1
7/28/2001,72,Be Like That,3 Doors Down,Be Like That3 Doors Down,1,,72,1
7/30/2005,88,Be My Escape,Relient K,Be My EscapeRelient K,1,,88,1
