weekid,week_position,song,performer,songid,instance,previous_week_position,peak_position,weeks_on_chart
10/25/2003,75,The First Cut Is The Deepest,Sheryl Crow,The First Cut Is The DeepestSheryl Crow,1,,75,1
9/12/2009,56,The Fixer,Pearl Jam,The FixerPearl Jam,1,,56,1
10/5/2002,66,The Game Of Love,Santana Featuring Michelle Branch,The Game Of LoveSantana Featuring Michelle Branch,1,,66,1
1/14/2006,84,The Ghost Of You,My Chemical Romance,The Ghost Of YouMy Chemical Romance,1,,84,1
6/8/2002,70,The Good Stuff,Kenny Chesney,The Good StuffKenny Chesney,1,,70,1
6/2/2007,96,The Great Escape,Boys Like Girls,The Great EscapeBoys Like Girls,1,,96,1
11/3/2007,96,The Hand Clap,Hurricane Chris Featuring Big Poppa,The Hand ClapHurricane Chris Featuring Big Poppa,1,,96,1
4/9/2005,31,The Hand That Feeds,Nine Inch Nails,The Hand That FeedsNine Inch Nails,1,,31,1
9/2/2000,91,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),2Gether,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff)2Gether,1,,91,1
6/1/2002,95,The Impossible,Joe Nichols,The ImpossibleJoe Nichols,1,,95,1
12/5/2009,97,The Invitation,50 Cent,The Invitation50 Cent,1,,97,1
12/2/2000,86,The Itch,Vitamin C,The ItchVitamin C,1,,86,1
2/8/2003,66,The Jump Off,Lil' Kim Featuring Mr. Cheeks,The Jump OffLil' Kim Featuring Mr. Cheeks,1,,66,1
10/12/2002,76,The Ketchup Song (Hey Hah),Las Ketchup,The Ketchup Song (Hey Hah)Las Ketchup,1,,76,1
8/5/2006,86,The Kill (Bury Me),Thirty Seconds To Mars,The Kill (Bury Me)Thirty Seconds To Mars,1,,86,1
8/5/2000,75,The Light,Common,The LightCommon,1,,75,1
9/9/2000,81,The Little Girl,John Michael Montgomery,The Little GirlJohn Michael Montgomery,1,,81,1
12/22/2001,75,The Long Goodbye,Brooks & Dunn,The Long GoodbyeBrooks & Dunn,1,,75,1
5/24/2003,73,The Love Song,Jeff Bates,The Love SongJeff Bates,1,,73,1
4/8/2006,93,The Lucky One,Faith Hill,The Lucky OneFaith Hill,1,,93,1
3/16/2002,71,The Middle,Jimmy Eat World,The MiddleJimmy Eat World,1,,71,1
6/7/2008,77,The Music Of The Night,David Cook,The Music Of The NightDavid Cook,1,,77,1
3/17/2007,74,The Neighbor,Dixie Chicks,The NeighborDixie Chicks,1,,74,1
5/27/2000,78,The Next Episode,Dr. Dre Featuring Snoop Dogg,The Next EpisodeDr. Dre Featuring Snoop Dogg,1,,78,1
10/26/2002,99,The One You Love,Paulina Rubio,The One You LovePaulina Rubio,1,,99,1
5/27/2000,58,The One,Backstreet Boys,The OneBackstreet Boys,1,,58,1
5/18/2002,70,The One,Gary Allan,The OneGary Allan,1,,70,1
8/8/2009,63,The One,Mary J. Blige Featuring Drake,The OneMary J. Blige Featuring Drake,1,,63,1
4/1/2006,88,The Only Difference Between Martyrdom And Suicide Is Press Coverage,Panic! At The Disco,The Only Difference Between Martyrdom And Suicide Is Press CoveragePanic! At The Disco,1,,88,1
11/11/2006,84,The Other Side Of Me,Hannah Montana,The Other Side Of MeHannah Montana,1,,84,1
11/14/2009,23,The Other Side Of The Door,Taylor Swift,The Other Side Of The DoorTaylor Swift,1,,23,1
5/15/2004,79,The Outsider,A Perfect Circle,The OutsiderA Perfect Circle,1,,79,1
9/9/2006,94,The Party's Just Begun,The Cheetah Girls,The Party's Just BegunThe Cheetah Girls,1,,94,1
11/4/2006,78,The Pick Of Destiny,Tenacious D,The Pick Of DestinyTenacious D,1,,78,1
3/1/2008,70,The Prayer (Live),Celine Dion & Josh Groban,The Prayer (Live)Celine Dion & Josh Groban,1,,70,1
8/25/2007,56,The Pretender,Foo Fighters,The PretenderFoo Fighters,1,,56,1
1/1/2000,98,The Quittin' Kind,Joe Diffie,The Quittin' KindJoe Diffie,1,,98,1
5/6/2000,70,The Real Slim Shady,Eminem,The Real Slim ShadyEminem,1,,70,1
3/25/2006,98,The Real Thing,Bo Bice,The Real ThingBo Bice,1,,98,1
3/20/2004,62,The Reason,Hoobastank,The ReasonHoobastank,1,,62,1
11/30/2002,77,The Red,Chevelle,The RedChevelle,1,,77,1
5/3/2003,70,The Remedy (I Won't Worry),Jason Mraz,The Remedy (I Won't Worry)Jason Mraz,1,,70,1
7/29/2006,96,The Riddle,Five For Fighting,The RiddleFive For Fighting,1,,96,1
8/3/2002,52,The Rising,Bruce Springsteen,The RisingBruce Springsteen,1,,52,1
2/10/2007,97,The River,Good Charlotte Featuring M. Shadows And Synyster Gates,The RiverGood Charlotte Featuring M. Shadows And Synyster Gates,1,,97,1
7/28/2001,74,The Rock Show,Blink-182,The Rock ShowBlink-182,1,,74,1
12/2/2006,65,The Saints Are Coming,U2 & Green Day,The Saints Are ComingU2 & Green Day,1,,65,1
4/29/2006,86,The Seashores Of Old Mexico,George Strait,The Seashores Of Old MexicoGeorge Strait,1,,86,1
1/10/2004,73,The Set Up,Obie Trice Featuring Nate Dogg,The Set UpObie Trice Featuring Nate Dogg,1,,73,1
10/25/2008,93,The Shock Of The Lightning,Oasis,The Shock Of The LightningOasis,1,,93,1
5/19/2001,79,The Space Between,Dave Matthews Band,The Space BetweenDave Matthews Band,1,,79,1
4/28/2007,75,The Story (I Was Made For You),Brandi Carlile,The Story (I Was Made For You)Brandi Carlile,1,,75,1
9/28/2002,96,The Streets,WC Featuring Nate Dogg,The StreetsWC Featuring Nate Dogg,1,,96,1
12/30/2006,93,The Sweet Escape,Gwen Stefani Featuring Akon,The Sweet EscapeGwen Stefani Featuring Akon,1,,93,1
7/9/2005,100,The Talkin' Song Repair Blues,Alan Jackson,The Talkin' Song Repair BluesAlan Jackson,1,,100,1
6/7/2008,3,The Time Of My Life,David Cook,The Time Of My LifeDavid Cook,1,,3,1
7/5/2003,79,The Truth About Men,Tracy Byrd,The Truth About MenTracy Byrd,1,,79,1
11/21/2009,91,The Truth,Jason Aldean,The TruthJason Aldean,1,,91,1
11/29/2003,62,The Voice Within,Christina Aguilera,The Voice WithinChristina Aguilera,1,,62,1
8/26/2000,87,The Way I Am,Eminem,The Way I AmEminem,1,,87,1
10/13/2007,80,The Way I Am,Ingrid Michaelson,The Way I AmIngrid Michaelson,1,,80,1
6/16/2007,78,The Way I Are,Timbaland Featuring Keri Hilson,The Way I AreTimbaland Featuring Keri Hilson,1,,78,1
12/30/2006,100,The Way I Live,Baby Boy Da Prince Featuring Lil Boosie,The Way I LiveBaby Boy Da Prince Featuring Lil Boosie,1,,100,1
11/29/2008,72,The Way I Loved You,Taylor Swift,The Way I Loved YouTaylor Swift,1,,72,1
3/22/2008,88,The Way That I Love You,Ashanti,The Way That I Love YouAshanti,1,,88,1
3/11/2000,80,The Way You Love Me,Faith Hill,The Way You Love MeFaith Hill,1,,80,1
9/27/2003,83,The Way You Move,OutKast Featuring Sleepy Brown,The Way You MoveOutKast Featuring Sleepy Brown,1,,83,1
7/7/2001,84,The Way,Jill Scott,The WayJill Scott,1,,84,1
12/22/2001,68,The Whole World,OutKast Featuring Killer Mike,The Whole WorldOutKast Featuring Killer Mike,1,,68,1
3/19/2005,97,The Widow,The Mars Volta,The WidowThe Mars Volta,1,,97,1
10/16/2004,73,The Woman With You,Kenny Chesney,The Woman With YouKenny Chesney,1,,73,1
6/7/2008,28,The World I Know,David Cook,The World I KnowDavid Cook,1,,28,1
5/6/2006,100,The World,Brad Paisley,The WorldBrad Paisley,1,,100,1
12/29/2001,59,The World's Greatest,R. Kelly,The World's GreatestR. Kelly,1,,59,1
3/22/2003,88,The Wreckoning,Boomkat,The WreckoningBoomkat,1,,88,1
11/9/2002,70,The Zephyr Song,Red Hot Chili Peppers,The Zephyr SongRed Hot Chili Peppers,1,,70,1
7/19/2003,74,Then They Do,Trace Adkins,Then They DoTrace Adkins,1,,74,1
4/4/2009,35,Then,Brad Paisley,ThenBrad Paisley,1,,35,1
5/16/2009,98,There Goes My Baby,Charlie Wilson,There Goes My BabyCharlie Wilson,1,,98,1
11/8/2003,78,There Goes My Life,Kenny Chesney,There Goes My LifeKenny Chesney,1,,78,1
12/23/2000,72,There Is No Arizona,Jamie O'Neal,There Is No ArizonaJamie O'Neal,1,,72,1
10/15/2005,88,There It Go! (The Whistle Song),Juelz Santana,There It Go! (The Whistle Song)Juelz Santana,1,,88,1
4/7/2001,82,There It Is,Ginuwine,There It IsGinuwine,1,,82,1
5/12/2001,98,There She Goes,Babyface,There She GoesBabyface,1,,98,1
9/9/2000,79,There You Are,Martina McBride,There You AreMartina McBride,1,,79,1
3/4/2000,25,There You Go,P!nk,There You GoP!nk,1,,25,1
5/26/2001,46,There You'll Be,Faith Hill,There You'll BeFaith Hill,1,,46,1
5/17/2008,92,There's Nothin,Sean Kingston Featuring Elan & Juelz Santana,There's NothinSean Kingston Featuring Elan & Juelz Santana,1,,92,1
6/23/2007,94,These Are My People,Rodney Atkins,These Are My PeopleRodney Atkins,1,,94,1
12/7/2002,64,These Are The Days,O-Town,These Are The DaysO-Town,1,,64,1
7/16/2005,33,These Boots Are Made For Walkin',Jessica Simpson,These Boots Are Made For Walkin'Jessica Simpson,1,,33,1
10/5/2002,67,These Days,Rascal Flatts,These DaysRascal Flatts,1,,67,1
7/2/2005,100,These Words,Natasha Bedingfield,These WordsNatasha Bedingfield,1,,100,1
4/18/2009,85,Things That Matter,Rascal Flatts,Things That MatterRascal Flatts,1,,85,1
4/19/2008,96,Things That Never Cross A Man's Mind,Kellie Pickler,Things That Never Cross A Man's MindKellie Pickler,1,,96,1
2/17/2007,82,Thinking About You,Norah Jones,Thinking About YouNorah Jones,1,,82,1
1/31/2009,79,Thinking Of You,Katy Perry,Thinking Of YouKaty Perry,1,,79,1
2/3/2007,2,"This Ain't A Scene, It's An Arms Race",Fall Out Boy,"This Ain't A Scene, It's An Arms RaceFall Out Boy",1,,2,1
12/8/2007,89,This Christmas,Chris Brown,This ChristmasChris Brown,1,,89,1
12/23/2000,76,This Everyday Love,Rascal Flatts,This Everyday LoveRascal Flatts,1,,76,1
1/1/2000,53,This Gift,98 Degrees,This Gift98 Degrees,1,,53,1
9/30/2000,68,This I Promise You,'N Sync,This I Promise You'N Sync,1,,68,1
7/16/2005,98,This Is How A Heart Breaks,Rob Thomas,This Is How A Heart BreaksRob Thomas,1,,98,1
11/1/2003,98,This Is How We Do,Big Tymers,This Is How We DoBig Tymers,1,,98,1
7/5/2008,11,This Is Me,Demi Lovato & Joe Jonas,This Is MeDemi Lovato & Joe Jonas,1,,11,1
5/12/2001,67,This Is Me,Dream,This Is MeDream,1,,67,1
6/9/2007,15,This Is My Now,Jordin Sparks,This Is My NowJordin Sparks,1,,15,1
11/11/2006,89,This Is The Life,Hannah Montana,This Is The LifeHannah Montana,1,,89,1
6/28/2003,1,This Is The Night,Clay Aiken,This Is The NightClay Aiken,1,,1,1
12/26/2009,72,This Is War,Thirty Seconds To Mars,This Is WarThirty Seconds To Mars,1,,72,1
2/3/2007,87,This Is Why I'm Hot,Mims,This Is Why I'm HotMims,1,,87,1
2/14/2004,66,This Love,Maroon 5,This LoveMaroon 5,1,,66,1
8/9/2003,73,This One's For The Girls,Martina McBride,This One's For The GirlsMartina McBride,1,,73,1
4/22/2000,22,This Time Around,Hanson,This Time AroundHanson,1,,22,1
5/29/2004,78,This Way,Dilated Peoples Featuring Kanye West,This WayDilated Peoples Featuring Kanye West,1,,78,1
2/5/2000,82,This Woman Needs,SHeDAISY,This Woman NeedsSHeDAISY,1,,82,1
3/16/2002,75,This Woman's Work,Maxwell,This Woman's WorkMaxwell,1,,75,1
4/28/2007,67,Thnks Fr Th Mmrs,Fall Out Boy,Thnks Fr Th MmrsFall Out Boy,1,,67,1
7/19/2003,70,Thoia Thoing,R. Kelly,Thoia ThoingR. Kelly,1,,70,1
1/29/2000,74,Thong Song,Sisqo,Thong SongSisqo,1,,74,1
4/5/2003,73,Three Wooden Crosses,Randy Travis,Three Wooden CrossesRandy Travis,1,,73,1
8/19/2006,87,Through Glass,Stone Sour,Through GlassStone Sour,1,,87,1
1/19/2008,86,Through The Fire And Flames,DragonForce,Through The Fire And FlamesDragonForce,1,,86,1
12/28/2002,84,Through The Rain,Mariah Carey,Through The RainMariah Carey,1,,84,1
11/29/2003,94,Through The Wire,Kanye West,Through The WireKanye West,1,,94,1
6/20/2009,94,Throw It In The Bag,Fabolous Featuring The-Dream,Throw It In The BagFabolous Featuring The-Dream,1,,94,1
12/23/2006,100,Throw Some D's,Rich Boy Featuring Polow Da Don,Throw Some D'sRich Boy Featuring Polow Da Don,1,,100,1
12/21/2002,96,Thug Holiday,Trick Daddy Featuring LaTocha Scott,Thug HolidayTrick Daddy Featuring LaTocha Scott,1,,96,1
11/23/2002,72,Thug Lovin',Ja Rule Featuring Bobby Brown,Thug Lovin'Ja Rule Featuring Bobby Brown,1,,72,1
1/1/2005,98,Thugs Get Lonely Too,2Pac Featuring Nate Dogg,Thugs Get Lonely Too2Pac Featuring Nate Dogg,1,,98,1
12/7/2002,50,Thugz Mansion,2Pac,Thugz Mansion2Pac,1,,50,1
7/12/2008,88,Thunder,Boys Like Girls,ThunderBoys Like Girls,1,,88,1
4/14/2007,40,Ticks,Brad Paisley,TicksBrad Paisley,1,,40,1
10/31/2009,97,Tie Me Down,New Boyz Featuring Ray J,Tie Me DownNew Boyz Featuring Ray J,1,,97,1
10/24/2009,79,TiK ToK,Ke$ha,TiK ToKKe$ha,1,,79,1
9/25/2004,75,Tilt Ya Head Back,Nelly & Christina Aguilera,Tilt Ya Head BackNelly & Christina Aguilera,1,,75,1
9/23/2006,86,Tim McGraw,Taylor Swift,Tim McGrawTaylor Swift,1,,86,1
11/7/2009,50,Time For Miracles,Adam Lambert,Time For MiraclesAdam Lambert,1,,50,1
6/9/2007,99,Time Of The Season,Blake Lewis,Time Of The SeasonBlake Lewis,1,,99,1
3/8/2003,75,Times Like These,Foo Fighters,Times Like TheseFoo Fighters,1,,75,1
5/8/2004,91,Time's Up!,Jadakiss Featuring Nate Dogg,Time's Up!Jadakiss Featuring Nate Dogg,1,,91,1
1/17/2004,96,Tipsy,J-Kwon,TipsyJ-Kwon,1,,96,1
10/28/2000,99,Toca's Miracle,Fragma,Toca's MiracleFragma,1,,99,1
8/8/2009,95,Toes,Zac Brown Band,ToesZac Brown Band,1,,95,1
6/29/2002,74,Tonight I Wanna Be Your Man,Andy Griggs,Tonight I Wanna Be Your ManAndy Griggs,1,,74,1
12/31/2005,86,Tonight I Wanna Cry,Keith Urban,Tonight I Wanna CryKeith Urban,1,,86,1
8/16/2008,8,Tonight,Jonas Brothers,TonightJonas Brothers,1,,8,1
3/16/2002,79,Too Bad,Nickelback,Too BadNickelback,1,,79,1
11/22/2008,96,Too Drunk...,Buckcherry,Too Drunk...Buckcherry,1,,96,1
4/7/2001,86,Too Little Too Late,Barenaked Ladies,Too Little Too LateBarenaked Ladies,1,,86,1
9/2/2006,90,Too Little Too Late,JoJo,Too Little Too LateJoJo,1,,90,1
8/8/2009,93,Too Many Rappers,Beastie Boys Featuring Nas,Too Many RappersBeastie Boys Featuring Nas,1,,93,1
8/7/2004,66,Too Much Of A Good Thing,Alan Jackson,Too Much Of A Good ThingAlan Jackson,1,,66,1
12/23/2006,88,Top Back,T.I.,Top BackT.I.,1,,88,1
2/21/2009,79,Top Of The World,The Pussycat Dolls,Top Of The WorldThe Pussycat Dolls,1,,79,1
5/6/2006,92,Torn,LeToya,TornLeToya,1,,92,1
12/24/2005,88,Touch It,Busta Rhymes,Touch ItBusta Rhymes,1,,88,1
3/1/2008,57,Touch My Body,Mariah Carey,Touch My BodyMariah Carey,1,,57,1
2/25/2006,90,Touch The Sky,Kanye West Featuring Lupe Fiasco,Touch The SkyKanye West Featuring Lupe Fiasco,1,,90,1
6/25/2005,99,Touch,Omarion,TouchOmarion,1,,99,1
8/23/2003,75,Tough Little Boys,Gary Allan,Tough Little BoysGary Allan,1,,75,1
7/21/2007,94,Tough,Craig Morgan,ToughCraig Morgan,1,,94,1
1/31/2004,53,Toxic,Britney Spears,ToxicBritney Spears,1,,53,1
5/4/2002,76,Toxicity,System Of A Down,ToxicitySystem Of A Down,1,,76,1
8/17/2002,70,Trade It All,Fabolous Featuring P. Diddy & Jagged Edge,Trade It AllFabolous Featuring P. Diddy & Jagged Edge,1,,70,1
11/15/2008,100,Trading Places,Usher,Trading PlacesUsher,1,,100,1
5/7/2005,100,Trapped In The Closet,R. Kelly,Trapped In The ClosetR. Kelly,1,,100,1
2/1/2003,70,Travelin' Soldier,Dixie Chicks,Travelin' SoldierDixie Chicks,1,,70,1
8/5/2000,77,Treat Her Like A Lady,Joe,Treat Her Like A LadyJoe,1,,77,1
1/29/2000,75,"Tricky, Tricky",Lou Bega,"Tricky, TrickyLou Bega",1,,75,1
7/26/2008,97,Troubadour,George Strait,TroubadourGeorge Strait,1,,97,1
11/29/2008,97,Troublemaker,Akon Featuring Sweet Rush,TroublemakerAkon Featuring Sweet Rush,1,,97,1
10/18/2003,71,Trouble,P!nk,TroubleP!nk,1,,71,1
12/12/2009,66,True Colors,Glee Cast,True ColorsGlee Cast,1,,66,1
7/14/2007,99,True Friend,Hannah Montana,True FriendHannah Montana,1,,99,1
12/11/2004,52,TRUE,Ryan Cabrera,TrueRyan Cabrera,1,,52,1
7/11/2009,93,Trust,Keyshia Cole Duet With Monica,TrustKeyshia Cole Duet With Monica,1,,93,1
1/22/2005,73,Truth Is,Fantasia,Truth IsFantasia,1,,73,1
3/18/2000,59,Try Again,Aaliyah,Try AgainAaliyah,1,,59,1
4/26/2003,99,Try It On My Own,Whitney Houston,Try It On My OwnWhitney Houston,1,,99,1
12/5/2009,58,Try Sleeping With A Broken Heart,Alicia Keys,Try Sleeping With A Broken HeartAlicia Keys,1,,58,1
2/19/2005,98,Trying To Find Atlantis,Jamie O'Neal,Trying To Find AtlantisJamie O'Neal,1,,98,1
4/19/2008,92,Trying To Stop Your Leaving,Dierks Bentley,Trying To Stop Your LeavingDierks Bentley,1,,92,1
9/20/2008,86,T-Shirt,Shontelle,T-ShirtShontelle,1,,86,1
11/4/2006,99,Tu Amor,RBD,Tu AmorRBD,1,,99,1
12/16/2006,96,Tu Recuerdo,Ricky Martin Featuring La Mari De Chambao Y Tommy Torres,Tu RecuerdoRicky Martin Featuring La Mari De Chambao Y Tommy Torres,1,,96,1
11/5/2005,95,Turn It Up,Chamillionaire Featuring Lil' Flip,Turn It UpChamillionaire Featuring Lil' Flip,1,,95,1
5/22/2004,94,Turn Me On,Kevin Lyttle Featuring Spragga Benz,Turn Me OnKevin Lyttle Featuring Spragga Benz,1,,94,1
3/21/2009,98,Turn My Swag On,Soulja Boy Tell'em,Turn My Swag OnSoulja Boy Tell'em,1,,98,1
8/18/2001,69,Turn Off The Light,Nelly Furtado,Turn Off The LightNelly Furtado,1,,69,1
1/3/2009,90,Turnin Me On,Keri Hilson Featuring Lil Wayne,Turnin Me OnKeri Hilson Featuring Lil Wayne,1,,90,1
12/26/2009,100,Twang,George Strait,TwangGeorge Strait,1,,100,1
10/15/2005,97,Twisted Transistor,Korn,Twisted TransistorKorn,1,,97,1
9/26/2009,92,Two Is Better Than One,Boys Like Girls Featuring Taylor Swift,Two Is Better Than OneBoys Like Girls Featuring Taylor Swift,1,,92,1
4/28/2001,79,Two People Fell In Love,Brad Paisley,Two People Fell In LoveBrad Paisley,1,,79,1
7/13/2002,76,Two Wrongs,Wyclef Jean Featuring Claudette Ortiz,Two WrongsWyclef Jean Featuring Claudette Ortiz,1,,76,1
1/13/2007,94,U + Ur Hand,P!nk,U + Ur HandP!nk,1,,94,1
3/5/2005,99,U Already Know,112 Featuring Foxy Brown,U Already Know112 Featuring Foxy Brown,1,,99,1
5/27/2006,100,U And Dat,E-40 Featuring T-Pain & Kandi Girl,U And DatE-40 Featuring T-Pain & Kandi Girl,1,,100,1
2/9/2002,65,U Don't Have To Call,Usher,U Don't Have To CallUsher,1,,65,1
1/22/2005,77,U Don't Know Me,T.I.,U Don't Know MeT.I.,1,,77,1
3/4/2000,81,U Don't Love Me,Kumbia Kings Featuring A.B. Quintanilla,U Don't Love MeKumbia Kings Featuring A.B. Quintanilla,1,,81,1
9/22/2001,93,U Got It Bad,Usher,U Got It BadUsher,1,,93,1
11/20/2004,75,U Make Me Wanna,Jadakiss Featuring Mariah Carey,U Make Me WannaJadakiss Featuring Mariah Carey,1,,75,1
6/16/2001,53,U Remind Me,Usher,U Remind MeUsher,1,,53,1
7/31/2004,77,U Saved Me,R. Kelly,U Saved MeR. Kelly,1,,77,1
6/5/2004,67,U Should've Known Better,Monica,U Should've Known BetterMonica,1,,67,1
2/5/2000,85,U Understand,Juvenile,U UnderstandJuvenile,1,,85,1
9/1/2001,98,Ugly,Bubba Sparxxx,UglyBubba Sparxxx,1,,98,1
1/5/2002,43,Uh Huh,B2K,Uh HuhB2K,1,,43,1
4/28/2007,91,Umbrella,Rihanna Featuring Jay-Z,UmbrellaRihanna Featuring Jay-Z,1,,91,1
2/23/2008,88,Umma Do Me,Rocko,Umma Do MeRocko,1,,88,1
10/14/2006,98,Unappreciated,Cherish,UnappreciatedCherish,1,,98,1
10/1/2005,61,Unbreakable,Alicia Keys,UnbreakableAlicia Keys,1,,61,1
7/6/2002,69,Unbroken,Tim McGraw,UnbrokenTim McGraw,1,,69,1
3/25/2000,97,Unconditional,Clay Davidson,UnconditionalClay Davidson,1,,97,1
4/30/2005,54,Under Pressure,The Used And My Chemical Romance,Under PressureThe Used And My Chemical Romance,1,,54,1
8/31/2002,64,Underneath It All,No Doubt Featuring Lady Saw,Underneath It AllNo Doubt Featuring Lady Saw,1,,64,1
3/16/2002,70,Underneath Your Clothes,Shakira,Underneath Your ClothesShakira,1,,70,1
9/12/2009,87,Under,Pleasure P,UnderPleasure P,1,,87,1
11/28/2009,100,Undertow,Timbaland Featuring The Fray & Esthero,UndertowTimbaland Featuring The Fray & Esthero,1,,100,1
11/14/2009,87,Undo It,Carrie Underwood,Undo ItCarrie Underwood,1,,87,1
5/13/2006,51,Unfaithful,Rihanna,UnfaithfulRihanna,1,,51,1
12/20/2008,95,Universal Mind Control,Common Featuring Pharrell,Universal Mind ControlCommon Featuring Pharrell,1,,95,1
12/3/2005,100,Unpredictable,Jamie Foxx Featuring Ludacris,UnpredictableJamie Foxx Featuring Ludacris,1,,100,1
4/25/2009,80,Unstoppable,Rascal Flatts,UnstoppableRascal Flatts,1,,80,1
4/21/2001,82,Until The End Of Time,2Pac,Until The End Of Time2Pac,1,,82,1
7/14/2007,98,Until The End Of Time,Justin Timberlake Duet With Beyonce,Until The End Of TimeJustin Timberlake Duet With Beyonce,1,,98,1
5/21/2005,95,Untitled (How Can This Happen To Me?),Simple Plan,Untitled (How Can This Happen To Me?)Simple Plan,1,,95,1
1/22/2000,77,Untitled (How Does It Feel),D'Angelo,Untitled (How Does It Feel)D'Angelo,1,,77,1
11/14/2009,19,Untouchable,Taylor Swift,UntouchableTaylor Swift,1,,19,1
12/13/2008,62,Untouched,The Veronicas,UntouchedThe Veronicas,1,,62,1
1/25/2003,73,Unusually Unusual,Lonestar,Unusually UnusualLonestar,1,,73,1
3/22/2003,59,Unwell,matchbox twenty,Unwellmatchbox twenty,1,,59,1
12/10/2005,77,Unwritten,Natasha Bedingfield,UnwrittenNatasha Bedingfield,1,,77,1
5/12/2007,56,Up To The Mountain,Kelly Clarkson Featuring Jeff Beck,Up To The MountainKelly Clarkson Featuring Jeff Beck,1,,56,1
2/1/2003,73,Up!,Shania Twain,Up!Shania Twain,1,,73,1
11/18/2006,92,Upgrade U,Beyonce Featuring Jay Z,Upgrade UBeyonce Featuring Jay Z,1,,92,1
8/22/2009,81,Uprising,Muse,UprisingMuse,1,,81,1
1/28/2006,69,Upside Down,Jack Johnson,Upside DownJack Johnson,1,,69,1
10/11/2008,86,Use Somebody,Kings Of Leon,Use SomebodyKings Of Leon,1,,86,1
10/2/2004,97,Used To Love U,John Legend,Used To Love UJohn Legend,1,,97,1
11/7/2009,95,Vanilla Twilight,Owl City,Vanilla TwilightOwl City,1,,95,1
9/16/2006,58,Vans,The Pack,VansThe Pack,1,,58,1
10/9/2004,46,Vertigo,U2,VertigoU2,1,,46,1
12/12/2009,65,Video Phone,Beyonce Featuring Lady Gaga,Video PhoneBeyonce Featuring Lady Gaga,1,,65,1
3/31/2001,80,Video,India.Arie,VideoIndia.Arie,1,,80,1
5/24/2008,40,Violet Hill,Coldplay,Violet HillColdplay,1,,40,1
11/20/2004,77,Vitamin R (Leading Us Along),Chevelle,Vitamin R (Leading Us Along)Chevelle,1,,77,1
5/24/2008,15,Viva La Vida,Coldplay,Viva La VidaColdplay,1,,15,1
5/26/2007,83,Vulnerable,Secondhand Serenade,VulnerableSecondhand Serenade,1,,83,1
9/15/2007,43,Wadsyaname,Nelly,WadsyanameNelly,1,,43,1
2/26/2005,94,Wait (The Whisper Song),Ying Yang Twins,Wait (The Whisper Song)Ying Yang Twins,1,,94,1
5/26/2001,76,Wait A Minute,Ray J Featuring Lil' Kim,Wait A MinuteRay J Featuring Lil' Kim,1,,76,1
11/25/2006,77,Wait A Minute,The Pussycat Dolls Featuring Timbaland,Wait A MinuteThe Pussycat Dolls Featuring Timbaland,1,,77,1
4/7/2007,67,Wait For You,Elliott Yamin,Wait For YouElliott Yamin,1,,67,1
7/26/2008,99,Waitin' On A Woman,Brad Paisley,Waitin' On A WomanBrad Paisley,1,,99,1
10/18/2003,98,Waiting For You,Seal,Waiting For YouSeal,1,,98,1
7/29/2006,25,Waiting On The World To Change,John Mayer,Waiting On The World To ChangeJohn Mayer,1,,25,1
8/6/2005,98,Wake Me Up When September Ends,Green Day,Wake Me Up When September EndsGreen Day,1,,98,1
8/25/2007,99,Wake Up Call,Maroon 5,Wake Up CallMaroon 5,1,,99,1
9/3/2005,29,Wake Up,Hilary Duff,Wake UpHilary Duff,1,,29,1
5/16/2009,65,Waking Up In Vegas,Katy Perry,Waking Up In VegasKaty Perry,1,,65,1
